filepath,class,split
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1022.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1023.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1025.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1026.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1027.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1028.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1029.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_103.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1030.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1031.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1032.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1033.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1034.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1036.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1037.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1038.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1039.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_104.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1040.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1041.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1042.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1045.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1047.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1048.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1051.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1052.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1053.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1055.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1057.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1058.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1059.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_106.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1060.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1062.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1063.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1064.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1065.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1066.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1068.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1069.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1071.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1072.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1075.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1076.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1077.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1078.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1079.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_108.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1080.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1081.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1082.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1084.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1086.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1087.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1088.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1090.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1091.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1092.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1094.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1095.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1096.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1097.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_11.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1100.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1101.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1102.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1105.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1107.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1108.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1109.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_111.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1110.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1111.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1113.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1114.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1115.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1116.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1117.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1119.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_112.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1120.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1121.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1122.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1123.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1124.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1125.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1126.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1127.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1128.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1129.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_113.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1131.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1132.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1135.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1136.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1137.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1138.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_114.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1142.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1143.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1144.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1147.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1148.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1149.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1150.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1151.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1152.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1154.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1155.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1156.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1157.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1158.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_116.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1160.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1162.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1163.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1164.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1165.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1167.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_117.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1170.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1171.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1172.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1173.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1174.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1175.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1176.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1177.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1178.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1179.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_118.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1180.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1181.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1184.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1185.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1186.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1187.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_119.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1191.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1192.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1193.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1195.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1197.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1198.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_120.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1200.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1201.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1202.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1203.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1205.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1206.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1207.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1208.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1209.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_121.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1210.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1211.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1212.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1213.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1214.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1215.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1216.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1217.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1219.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1220.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1221.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1222.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1223.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1224.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1225.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1226.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1227.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1229.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1230.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1231.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1233.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1236.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1237.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1238.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_124.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1240.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1241.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1242.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1243.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1244.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1245.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1246.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1247.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1248.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1249.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_125.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1253.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1257.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1258.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1259.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_126.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1262.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1263.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1265.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1266.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1268.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1269.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_127.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1270.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1272.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1273.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1276.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1277.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1278.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_128.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1280.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1281.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1282.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1283.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1285.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1286.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1287.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1288.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1289.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1290.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1292.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1293.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1297.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1299.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_13.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1300.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1301.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1302.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1303.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1304.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1305.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1308.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1309.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_131.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1312.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1314.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1315.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1316.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1319.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_132.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1320.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1321.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1324.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1325.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1326.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1327.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1328.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1329.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_133.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1330.png,normal,train
